id,naslov,avtor_id,avtor,leto,ocena,st_ocen,st_kritik
12948,The Turn of the Screw,159,Henry James,1898,3.44,76624,5475
162898,A Connecticut Yankee in King Arthur's Court,1244,Mark Twain,1889,3.77,85308,2475
264,The Portrait of a Lady,159,Henry James,1881,3.77,64199,2386
99300,The Yellow Wallpaper and Other Stories,29527,Charlotte Perkins Gilman,1892,4.03,71695,1649
383206,Wives and Daughters,1413437,Elizabeth Gaskell,1866,4.09,37991,2119
24970,Either/Or: A Fragment of Life,6172,Søren Kierkegaard,1843,4.17,6331,140
56759,The Mayor of Casterbridge,15905,Thomas Hardy,1886,3.81,49005,1860
32585,Hunger,18317,Knut Hamsun,1890,4.09,33329,2358
59145,Père Goriot,228089,Honoré de Balzac,1835,3.83,38122,1337
12321,Beyond Good and Evil,1938,Friedrich Nietzsche,1886,4.01,49019,1396
29981,The Island of Dr. Moreau,880695,H.G. Wells,1896,3.72,78768,3324
9454,Hegel's Phenomenology of Spirit,6188,Georg Wilhelm Friedrich Hegel,1807,3.92,13176,262
4921,"Three Men in a Boat (Three Men, #1)",3352,Jerome K. Jerome,1889,3.9,45398,3648
325785,"Capital, Vol 1: A Critical Analysis of Capitalist Production",7084,Karl Marx,1867,4.2,6575,354
19117,Fathers and Sons,410680,Ivan Turgenev,1862,3.95,55928,1798
194179,The Strange Case of Dr Jekyll and Mr Hyde &amp; Weir of Hermiston,854076,Robert Louis Stevenson,1886,3.76,1491,24
31250,Little Dorrit,239579,Charles Dickens,1855,3.98,40457,1368
17184,The Invisible Man,880695,H.G. Wells,1897,3.63,110986,4460
27822,Eugene Onegin,16070,Alexander Pushkin,1832,4.09,43254,1102
31244,Our Mutual Friend,239579,Charles Dickens,1865,4.07,23356,1243
38296,The Last of the Mohicans (The Leatherstocking Tales #2),9121,James Fenimore Cooper,1826,3.7,79305,2301
180617,Pinocchio,15123,Carlo Collodi,1883,3.86,61684,1747
128837,Elective Affinities,285217,Johann Wolfgang von Goethe,1809,3.74,6003,299
18386,The Death of Ivan Ilych,128382,Leo Tolstoy,1886,4.06,67557,3545
132391,The Little Mermaid,6378,Hans Christian Andersen,1836,4.01,18174,830
20564,The Mill on the Floss,173,George Eliot,1860,3.79,43497,1661
28407,"Germinal (Les Rougon-Macquart, #13)",4750,Émile Zola,1885,4.11,24589,976
2871400,Rock Crystal,13018,Adalbert Stifter,1853,3.83,1036,126
32650,The Return of the Native,15905,Thomas Hardy,1878,3.85,31305,1275
298230,Agnes Grey,8249,Anne Brontë,1847,3.67,43841,2509
128461,A Season in Hell/The Drunken Boat,72605,Arthur Rimbaud,1872,4.34,7281,178
182381,Cranford,1413437,Elizabeth Gaskell,1853,3.85,32520,1968
537094,The Overcoat,232932,Nikolai Gogol,1842,4.13,20002,1365
337176,Henry von Ofterdingen,187510,Novalis,1802,3.69,1077,55
54539,Silas Marner,173,George Eliot,1861,3.62,62786,3043
50798,Jude the Obscure,15905,Thomas Hardy,1895,3.81,54183,2617
323355,The Book of Mormon: Another Testament of Jesus Christ,5158478,Anonymous,1830,4.37,68874,5602
49455,Notes from Underground,3137322,Fyodor Dostoyevsky,1864,4.17,51159,3259
94578,The Gay Science,1938,Friedrich Nietzsche,1882,4.26,11063,343
565149,Illuminations,72605,Arthur Rimbaud,1875,4.38,9259,261
847863,Conversations Of Goethe,439459,Johann Peter Eckermann,1836,4.37,395,23
24972,The Sickness Unto Death: A Christian Psychological Exposition for Upbuilding and Awakening,6172,Søren Kierkegaard,1849,4.1,7351,261
18823,The Grand Inquisitor,3137322,Fyodor Dostoyevsky,1879,4.35,4165,189
93263,The Legend of Sleepy Hollow (Graphic Novel),53498,Bo Hampton,1993,3.96,44945,404
325085,Nicholas Nickleby,239579,Charles Dickens,1839,3.9,36410,1284
325128,"Kidnapped (David Balfour, #1)",854076,Robert Louis Stevenson,1886,3.78,53446,1552
36529,Narrative of the Life of Frederick Douglass,18943,Frederick Douglass,1845,3.98,77183,3334
45685,The Canterville Ghost,3565,Oscar Wilde,1887,3.89,34270,1880
28382,Diary of a Madman and Other Stories ,232932,Nikolai Gogol,1835,4.11,11109,509
5984208,Maldoror and Poems,153341,Comte de Lautréamont,1869,4.22,798,52
23814,"King Solomon's Mines (Allan Quatermain, #1)",4633123,H. Rider Haggard,1885,3.8,39225,1661
229432,The Pickwick Papers,239579,Charles Dickens,1837,3.83,21825,1340
5693,Selected Stories,5031025,Anton Chekhov,1900,4.37,27680,548
330264,The Marquise of O— and Other Stories,54427,Heinrich von Kleist,1808,3.96,1789,94
90192,The House of the Seven Gables,7799,Nathaniel Hawthorne,1851,3.45,31432,1886
125321,Barchester Towers (Chronicles of Barsetshire #2),20524,Anthony Trollope,1857,4.0,12591,719
5344,Hard Times,239579,Charles Dickens,1854,3.51,47113,2456
264158,The Raven,4624490,Edgar Allan Poe,1844,4.28,80280,1698
54499,"The Man in the Iron Mask (The D'Artagnan Romances, #3.4)",4785,Alexandre Dumas,1850,3.98,61313,851
20413,A Child's Garden of Verses,854076,Robert Louis Stevenson,1885,4.3,22754,543
12194,Lord Jim,3345,Joseph Conrad,1900,3.62,24700,1122
2183,Sentimental Education,1461,Gustave Flaubert,1869,3.84,15572,610
83346,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",8164,Lewis Carroll,1871,4.05,83283,2478
398145,Michael Kohlhaas,54427,Heinrich von Kleist,1810,3.55,2881,163
